Size,Sample_ID,Jar,Colour,Treatment,Snailw_g,wetw_1_g,wetw_2_g,Weight_diff,Length_1_cm,Length_2_cm,Length_diff,Area_1_cm_2,Area_2_cm_2,Area_diff,n_days,length_growth_cm_day
Big,B5_9,B5,purple,No_snail,,0.083,0.105,0.022,3.71,3.9,0.19,1.99,2.27,0.28,12,0.015833333
Big,B6_1,B6,red,No_snail,,0.079,0.131,0.052,4.57,5.08,0.51,2.28,2.96,0.68,12,0.0425
Big,B6_2,B6,green,No_snail,,0.053,0.094,0.041,4.39,4.86,0.47,1.52,1.92,0.4,12,0.039166667
Big,B6_3,B6,lightblue,No_snail,,0.095,0.142,0.047,4.48,5.09,0.61,2.09,2.89,0.8,12,0.050833333
Big,B6_4,B6,darkblue,No_snail,,0.068,0.096,0.028,3.43,3.64,0.21,1.4,1.81,0.41,12,0.0175
Big,B6_5,B6,brown,No_snail,,0.034,0.05,0.016,3.01,3.31,0.3,0.97,1.2,0.23,12,0.025
Big,B6_6,B6,yellow,No_snail,,0.097,0.13,0.033,2.98,3.4,0.42,1.89,2.47,0.58,12,0.035
Big,B6_7,B6,pink,No_snail,,0.075,0.104,0.029,2.95,3.57,0.62,1.65,2.26,0.61,12,0.051666667
Big,B6_8,B6,orange,No_snail,,0.175,0.204,0.029,3.54,3.94,0.4,3.62,4.06,0.44,12,0.033333333
Big,B6_9,B6,purple,No_snail,,0.195,0.261,0.066,3.92,4.35,0.43,4.31,5.24,0.93,12,0.035833333
